2026-09-04T02:39:57Z === BENCHMARK SESSION START ===
2026-09-04T02:39:57Z host=agent kernel=7.0.0-30-generic cpus=32 mem_gb=60
2026-09-04T02:39:57Z disk: /dev/sdc3       1.8T  8.1G  1.7T   1% /mnt/2tbssd
2026-09-04T02:39:57Z mount: /dev/sdc3 on /mnt/2tbssd type ext4 (rw,nosuid,nodev,relatime,stripe=8191)
2026-09-04T02:39:57Z bmc source commit: aadd7509dc023ea09a85cc6a6f941304e8713b2a
2026-09-04T02:39:57Z bmc working tree uncommitted entries: 4
2026-09-04T02:52:32Z core run1 (ports 8563) aborted intentionally at 02:52Z: stagger decision - bmc must own the box first; datadir wiped
2026-09-04T02:58:19Z peer audit: pool median-of-medians 2.7KB/s, 22/22 workers below the 32KB/s dead-weight floor; only 2 early-kills -> floor is effectively unreachable at early-chain block sizes (min-blocks exemption keeps 10 blk/s peers alive at ~2KB/s)
2026-09-04T15:29:14Z TICK bmc_alive=17 result=pending prog='11:01:55 stored 779149/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965494
2026-09-04T15:44:17Z TICK bmc_alive=17 result=pending prog='11:17:05 stored 782441/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965495
2026-09-04T15:59:22Z TICK bmc_alive=17 result=pending prog='11:32:05 stored 786042/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965496
2026-09-04T16:14:25Z TICK bmc_alive=17 result=pending prog='11:47:06 stored 791145/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965498
2026-09-04T16:29:28Z TICK bmc_alive=17 result=pending prog='12:02:16 stored 796388/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965499
2026-09-04T16:44:31Z TICK bmc_alive=17 result=pending prog='12:17:16 stored 801589/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965502
2026-09-04T16:59:34Z TICK bmc_alive=17 result=pending prog='12:32:17 stored 807341/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965502
2026-09-04T17:14:37Z TICK bmc_alive=17 result=pending prog='12:47:17 stored 812925/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965503
2026-09-04T17:29:40Z TICK bmc_alive=17 result=pending prog='13:02:27 stored 818591/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965503
2026-09-04T17:44:42Z TICK bmc_alive=17 result=pending prog='13:17:28 stored 823540/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965504
2026-09-04T17:59:45Z TICK bmc_alive=17 result=pending prog='13:32:28 stored 828547/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965504
2026-09-04T18:14:47Z TICK bmc_alive=17 result=pending prog='13:47:28 stored 833579/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965505
2026-09-04T18:29:50Z TICK bmc_alive=17 result=pending prog='14:02:29 stored 838075/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965507
2026-09-04T18:44:53Z TICK bmc_alive=17 result=pending prog='14:17:39 stored 842939/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965508
2026-09-04T18:59:56Z TICK bmc_alive=17 result=pending prog='14:32:39 stored 848401/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965510
2026-09-04T19:14:59Z TICK bmc_alive=17 result=pending prog='14:47:40 stored 854389/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965511
2026-09-04T19:30:04Z TICK bmc_alive=17 result=pending prog='15:02:50 stored 860250/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965515
2026-09-04T19:45:06Z TICK bmc_alive=17 result=pending prog='15:17:50 stored 865997/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965519
2026-09-04T20:00:09Z TICK bmc_alive=17 result=pending prog='15:32:51 stored 871771/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965521
2026-09-04T20:15:12Z TICK bmc_alive=17 result=pending prog='15:47:51 stored 877810/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965521
2026-09-04T20:30:15Z TICK bmc_alive=17 result=pending prog='16:03:01 stored 883193/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965521
2026-09-04T20:45:18Z TICK bmc_alive=17 result=pending prog='16:18:02 stored 888538/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965522
2026-09-04T21:00:21Z TICK bmc_alive=17 result=pending prog='16:33:02 stored 895023/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965522
2026-09-04T21:15:24Z TICK bmc_alive=17 result=pending prog='16:48:02 stored 900780/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965524
2026-09-04T21:30:26Z TICK bmc_alive=17 result=pending prog='17:03:13 stored 907754/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965524
2026-09-04T21:45:29Z TICK bmc_alive=17 result=pending prog='17:18:13 stored 913371/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965526
2026-09-04T22:00:31Z TICK bmc_alive=17 result=pending prog='17:33:13 stored 919904/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965529
2026-09-04T22:15:34Z TICK bmc_alive=17 result=pending prog='17:48:14 stored 926278/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965530
2026-09-04T22:30:37Z TICK bmc_alive=17 result=pending prog='18:03:24 stored 932578/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965532
2026-09-04T22:45:39Z TICK bmc_alive=17 result=pending prog='18:18:24 stored 938326/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965535
2026-09-04T23:00:41Z TICK bmc_alive=17 result=pending prog='18:33:25 stored 944375/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965535
2026-09-04T23:15:45Z TICK bmc_alive=17 result=pending prog='18:48:25 stored 950305/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965535
2026-09-04T23:30:48Z TICK bmc_alive=17 result=pending prog='19:03:35 stored 956319/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965539
2026-09-04T23:45:50Z TICK bmc_alive=17 result=pending prog='19:18:36 stored 962256/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965539
2026-09-05T00:00:53Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965539
2026-09-05T00:15:54Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965540
2026-09-05T00:30:56Z TICK bmc_alive=3 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965540
2026-09-05T00:45:57Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965540
2026-09-05T01:00:59Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965544
2026-09-05T01:16:00Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965544
2026-09-05T01:31:02Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965545
2026-09-05T01:46:04Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965546
2026-09-05T02:01:05Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965548
2026-09-05T02:16:07Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965549
2026-09-05T02:31:09Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965551
2026-09-05T02:46:10Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965552
2026-09-05T03:01:12Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965553
2026-09-05T03:16:15Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965556
2026-09-05T03:31:16Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965556
2026-09-05T03:46:19Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965557
2026-09-05T04:01:20Z TICK bmc_alive=3 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965562
2026-09-05T04:16:22Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965563
2026-09-05T04:31:24Z TICK bmc_alive=2 result=pending prog='19:26:23 stored 965427/965427' avg='11.1MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965563
2026-09-05T04:46:25Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='' | oracle_tip=965564
2026-09-05T05:01:29Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='' | oracle_tip=965566
